0-10%
pT 	 RAA 	 Statistical error 	 Systematic error 	 pp error (low) 	 pp error (up)
0.25	0.351966	0.0660335	0.0641739	0.0662469	0.115705
0.75	0.41096	0.0247849	0.0363051	0.0767947	0.125526
1.25	0.485553	0.014661	0.0482538	0.0893016	0.129702
1.75	0.560676	0.0122714	0.0384648	0.100535	0.126213
2.25	0.58582	0.0120809	0.0399171	0.101541	0.110095
2.75	0.566187	0.0120354	0.0398061	0.0942256	0.090351
3.25	0.456861	0.0122726	0.0438478	0.072632	0.0643257
3.75	0.408024	0.013743	0.0316795	0.0617354	0.0533543
4.5	0.324169	0.0118864	0.0246917	0.0456817	0.0418264
5.5	0.29566	0.0184606	0.0464931	0.0371823	0.0418971
7	0.237355	0.0227457	0.0521943	0.025514	0.0411263

10-20%
pT 	 RAA 	 Statistical error 	 Systematic error 	 pp error (low) 	 pp error (up)
0.25	0.321014	0.0426171	0.101006	0.0604211	0.10553
0.75	0.411645	0.0239278	0.0532787	0.0769227	0.125735
1.25	0.506169	0.0151831	0.0410427	0.0930932	0.135209
1.75	0.581363	0.0127426	0.0309498	0.104245	0.13087
2.25	0.606751	0.0122467	0.0404951	0.105169	0.114029
2.75	0.662768	0.0133586	0.0448488	0.110299	0.105763
3.25	0.524754	0.0131516	0.0377409	0.0834256	0.0738849
3.75	0.446153	0.0147609	0.0546606	0.0675045	0.0583402
4.5	0.43582	0.0143674	0.0301141	0.0614155	0.0562323
5.5	0.371535	0.0212755	0.0395311	0.0467243	0.0526492
7	0.31995	0.0250436	0.0583896	0.0343923	0.0554373

20-40%
pT 	 RAA 	 Statistical error 	 Systematic error 	 pp error (low) 	 pp error (up)
0.25	0.339585	0.0312883	0.0675721	0.0639165	0.111635
0.75	0.389693	0.0162627	0.0651115	0.0728206	0.11903
1.25	0.575278	0.0119281	0.0575639	0.105804	0.15367
1.75	0.603837	0.00987846	0.0385457	0.108274	0.135929
2.25	0.675673	0.010663	nan	0.117116	0.126982
2.75	0.649655	0.0114044	0.0207402	0.108116	0.103671
3.25	0.611769	0.0123007	0.033004	0.0972593	0.0861365
3.75	0.5723	0.0149943	0.0242235	0.086591	0.0748356
4.5	0.508042	0.0135901	0.0241043	0.0715929	0.0655508
5.5	0.497606	0.0214387	0.0414193	0.0625791	0.0705144
7	0.388535	0.0271324	0.0233587	0.0417647	0.067321

40-60%
pT 	 RAA 	 Statistical error 	 Systematic error 	 pp error (low) 	 pp error (up)
0.25	0.366066	0.0454132	0.0917083	0.0689008	0.12034
0.75	0.473893	0.0236775	0.0477821	0.0885547	0.144749
1.25	0.524133	0.015404	0.0218653	0.0963972	0.140008
1.75	0.651057	0.0157633	0.0202142	0.116741	0.146558
2.25	0.655639	0.0153618	0.0434505	0.113643	0.123216
2.75	0.699992	0.0177172	0.0592658	0.116494	0.111703
3.25	0.688427	0.0208428	0.0575625	0.109446	0.0969299
3.75	0.695047	0.0252248	0.0972173	0.105163	0.0908862
4.5	0.630929	0.0244478	0.0742989	0.0889102	0.0814066
5.5	0.578368	0.0374546	0.0618765	0.0727358	0.081959
7	0.631146	0.0492578	0.158163	0.0678438	0.109358

60-80%
pT 	 RAA 	 Statistical error 	 Systematic error 	 pp error (low) 	 pp error (up)
0.25	0.619687	0.0922701	0.20768	0.116637	0.203716
0.75	0.629499	0.0473412	0.139667	0.117632	0.192278
1.25	0.510808	0.0317257	0.113726	0.0939464	0.136449
1.75	0.612132	0.0310187	0.111539	0.109762	0.137796
2.25	0.667472	0.0311607	0.113916	0.115694	0.12544
2.75	0.822609	0.0433459	0.14874	0.1369	0.13127
3.25	0.743102	0.0443465	0.113796	0.118139	0.104628
3.75	0.733065	0.0552915	0.131586	0.110915	0.0958576
4.5	0.630309	0.0526631	0.102986	0.0888227	0.0813265
5.5	0.945366	0.0959315	0.192633	0.11889	0.133965
7	0.886764	0.131042	0.240733	0.0953209	0.153649

10-40%
pT 	 RAA 	 Statistical error 	 Systematic error 	 pp error (low) 	 pp error (up)
0.25	0.328838	0.0254262	0.0558524	0.0618938	0.108102
0.75	0.397647	0.0135955	0.0467745	0.0743069	0.12146
1.25	0.54377	0.0093334	0.0428794	0.100009	0.145253
1.75	0.59367	0.00781904	0.0278622	0.106451	0.13364
2.25	0.64245	0.00805948	0.0169725	0.111357	0.120738
2.75	0.655003	0.00871413	0.0268571	0.109007	0.104524
3.25	0.571201	0.00898503	0.0331742	0.0908098	0.0804246
3.75	0.512783	0.0105517	0.0379612	0.0775858	0.0670529
4.5	0.474429	0.00987298	0.0225606	0.0668562	0.0612139
5.5	0.43922	0.0151399	0.0338837	0.0552365	0.0622408
7	0.358756	0.0198035	0.0349767	0.0385637	0.0621612

40-80%
pT 	 RAA 	 Statistical error 	 Systematic error 	 pp error (low) 	 pp error (up)
0.25	0.405115	0.0407013	0.0785167	0.0762505	0.133177
0.75	0.497208	0.0210384	0.0440145	0.0929116	0.15187
1.25	0.51611	0.0137702	0.0336983	0.0949215	0.137865
1.75	0.640966	0.0140131	0.0300543	0.114932	0.144287
2.25	0.651063	0.0136818	0.0510384	0.11285	0.122356
2.75	0.712238	0.0162766	0.0664378	0.118532	0.113657
3.25	0.689202	0.0187607	0.0605732	0.10957	0.0970391
3.75	0.68701	0.0227491	0.0790836	0.103947	0.0898353
4.5	0.624174	0.0221305	0.0459173	0.0879582	0.0805349
5.5	0.615825	0.0345296	0.0495641	0.0774464	0.087267
7	0.641335	0.0463762	0.123706	0.068939	0.111123

0-80%
pT 	 RAA 	 Statistical error 	 Systematic error 	 pp error (low) 	 pp error (up)
0.25	0.341099	0.0240723	0.0451016	0.0642016	0.112133
0.75	0.415373	0.0112995	0.0280252	0.0776194	0.126874
1.25	0.541549	0.00720896	0.0362962	0.0996002	0.14466
1.75	0.60866	0.00618599	0.0300377	0.109139	0.137014
2.25	0.658431	0.00631486	0.0319396	0.114127	0.123741
2.75	0.660271	0.00669273	0.0352556	0.109883	0.105365
3.25	0.568375	0.00693815	0.0329926	0.0903605	0.0800267
3.75	0.516966	0.00804721	0.0358815	0.0782188	0.0675999
4.5	0.460507	0.00745204	0.0250449	0.0648944	0.0594176
5.5	0.428188	0.0114481	0.0358991	0.0538491	0.0606774
7	0.356237	0.0147075	0.0393275	0.038293	0.0617249

10-80%
pT 	 RAA 	 Statistical error 	 Systematic error 	 pp error (low) 	 pp error (up)
0.25	0.340246	0.0221764	0.0548963	0.0640409	0.111852
0.75	0.417316	0.0115993	0.0426044	0.0779824	0.127467
1.25	0.536786	0.00777987	0.0379616	0.0987242	0.143388
1.75	0.603428	0.00682439	0.0234127	0.108201	0.135837
2.25	0.64368	0.00694817	0.0197881	0.11157	0.120969
2.75	0.667042	0.00767872	0.0318223	0.11101	0.106445
3.25	0.594321	0.00810404	0.0298159	0.0944854	0.0836798
3.75	0.548427	0.0096019	0.0445805	0.0829789	0.0717138
4.5	0.503748	0.00906169	0.023513	0.0709879	0.0649969
5.5	0.473653	0.0139316	0.0306954	0.0595668	0.0671201
7	0.399265	0.0181176	0.0352354	0.0429182	0.0691802

30-50%
pT 	 RAA 	 Statistical error 	 Systematic error 	 pp error (low) 	 pp error (up)
0.25	0.391104	0.0370618	0.0771309	0.0736135	0.128571
0.75	0.48404	0.020124	0.0650403	0.0904509	0.147848
1.25	0.532224	0.0128713	0.0298368	0.0978853	0.142169
1.75	0.627907	0.0121012	0.0346581	0.11259	0.141347
2.25	0.657343	0.0123103	0.0179077	0.113938	0.123537
2.75	0.677268	0.0140881	0.0409372	0.112712	0.108077
3.25	0.658054	0.0158727	0.036741	0.104618	0.0926534
3.75	0.661831	0.0197553	0.09252	0.100137	0.0865429
4.5	0.600014	0.0186285	0.0279831	0.0845536	0.0774176
5.5	0.614373	0.0297009	0.0783909	0.0772638	0.0870612
7	0.411598	0.0345958	0.0411332	0.0442439	0.0713172

