0-80% 0  0.5 SubtractFit:  70.5235+-7.13033 ;1.86167+2.*0.00158018 ,1.86167-2.*0.00158018 ,0.0153839+2.*0.0015888 ,0.0153839-2.*0.0015888 ,552.278+-601.058 ;-311.342+-304.101 ;
0-80% 0.5  1 SubtractFit:  201.156+-7.54605 ;1.86132+2.*0.000503706 ,1.86132-2.*0.000503706 ,0.0130133+2.*0.000507059 ,0.0130133-2.*0.000507059 ,1929.1+-697.997 ;-991.134+-354.705 ;
0-80% 1  1.5 SubtractFit:  231.185+-3.90067 ;1.86297+2.*0.000233345 ,1.86297-2.*0.000233345 ,0.0132874+2.*0.000236575 ,0.0132874-2.*0.000236575 ,3680.16+-330.713 ;-1811.25+-168.436 ;
0-80% 1.5  2 SubtractFit:  281.823+-3.33649 ;1.86288+2.*0.000172467 ,1.86288-2.*0.000172467 ,0.0138257+2.*0.000170549 ,0.0138257-2.*0.000170549 ,4473.96+-254.738 ;-2172.18+-129.75 ;
0-80% 2  2.5 SubtractFit:  195.068+-2.00774 ;1.8636+2.*0.00015987 ,1.8636-2.*0.00015987 ,0.0146107+2.*0.000152994 ,0.0146107-2.*0.000152994 ,3425.3+-117.398 ;-1652.08+-60.0091 ;
0-80% 2.5  3 SubtractFit:  141.11+-1.5057 ;1.86399+2.*0.000177382 ,1.86399-2.*0.000177382 ,0.0154043+2.*0.000160863 ,0.0154043-2.*0.000160863 ,2655.05+-74.6368 ;-1276.67+-38.1498 ;
0-80% 3  3.5 SubtractFit:  86.0893+-1.13147 ;1.86463+2.*0.000231335 ,1.86463-2.*0.000231335 ,0.0164715+2.*0.000204963 ,0.0164715-2.*0.000204963 ,1614.03+-47.6445 ;-773.13+-24.2395 ;
0-80% 3.5  4 SubtractFit:  50.7382+-0.861152 ;1.86442+2.*0.000323926 ,1.86442-2.*0.000323926 ,0.0180709+2.*0.000296829 ,0.0180709-2.*0.000296829 ,1020.4+-32.6393 ;-489.684+-16.483 ;
0-80% 4  5 SubtractFit:  46.2314+-0.825824 ;1.86532+2.*0.000376857 ,1.86532-2.*0.000376857 ,0.0202213+2.*0.000354214 ,0.0202213-2.*0.000354214 ,984.557+-28.6548 ;-473.644+-14.3496 ;
0-80% 5  6 SubtractFit:  21.6775+-0.615355 ;1.8673+2.*0.000658147 ,1.8673-2.*0.000658147 ,0.0238266+2.*0.000642117 ,0.0238266-2.*0.000642117 ,430.59+-22.482 ;-206.612+-11.3202 ;0+-0
0-80% 6  7 SubtractFit:  6.76161+-0.312577 ;1.86677+2.*0.00123127 ,1.86677-2.*0.00123127 ,0.0229452+2.*0.000304627 ,0.0229452-2.*0.000304627 ,149.518+-12.0335 ;-71.3434+-6.09315 ;0+-0
0-80% 7  8 SubtractFit:  2.51415+-0.182322 ;1.86321+2.*0.00192759 ,1.86321-2.*0.00192759 ,0.0222701+2.*0.000779232 ,0.0222701-2.*0.000779232 ,63.1914+-7.62693 ;-30.1267+-3.82135 ;0+-0
0-80% 8  10 SubtractFit:  1.16682+-0.145688 ;1.86825+2.*0.00203433 ,1.86825-2.*0.00203433 ,0.0200832+2.*0.00266791 ,0.0200832-2.*0.00266791 ,33.1434+-6.67721 ;-15.2613+-3.45246 ;0+-0
