centrality   nEvents   NColl   dNColl   pTLow   pTHigh   count   counterr   dN2count   dN2counterr   
40-80%  4.60779e+08  59.0158  14.3364  0  0.5  778.667  140.635  1.82293e-08  3.29239e-09
40-80%  4.60779e+08  59.0158  14.3364  0.5  1  2463.54  169.08  1.92246e-08  1.31944e-09
40-80%  4.60779e+08  59.0158  14.3364  1  1.5  2756.26  92.0491  1.29053e-08  4.30991e-10
40-80%  4.60779e+08  59.0158  14.3364  1.5  2  3358.12  83.3506  1.1231e-08  2.7876e-10
40-80%  4.60779e+08  59.0158  14.3364  2  2.5  2381.28  58.2579  6.19423e-09  1.51541e-10
40-80%  4.60779e+08  59.0158  14.3364  2.5  3  1814.58  50.1309  3.86191e-09  1.06692e-10
40-80%  4.60779e+08  59.0158  14.3364  3  3.5  1187.22  40.055  2.138e-09  7.21328e-11
40-80%  4.60779e+08  59.0158  14.3364  3.5  4  770.594  32.1302  1.20269e-09  5.01465e-11
40-80%  4.60779e+08  59.0158  14.3364  4  5  722.125  31.8414  4.69601e-10  2.07066e-11
40-80%  4.60779e+08  59.0158  14.3364  5  6  378.206  23.8639  2.01231e-10  1.26972e-11
40-80%  4.60779e+08  59.0158  14.3364  6  7  141.332  14.6464  6.3629e-11  6.59395e-12
40-80%  4.60779e+08  59.0158  14.3364  7  8  50.6778  8.91578  1.97736e-11  3.47878e-12
40-80%  4.60779e+08  59.0158  14.3364  8  10  22.8742  6.85923  3.7188e-12  1.11515e-12
10-40%  3.39474e+08  401.447  31.2293  0  0.5  3502.84  574.33  1.63631e-08  2.68292e-09
10-40%  3.39474e+08  401.447  31.2293  0.5  1  11557.1  648.611  1.79959e-08  1.00997e-09
10-40%  3.39474e+08  401.447  31.2293  1  1.5  13209.2  319.627  1.2341e-08  2.98621e-10
10-40%  3.39474e+08  401.447  31.2293  1.5  2  16339.8  264.982  1.09042e-08  1.76834e-10
10-40%  3.39474e+08  401.447  31.2293  2  2.5  11250.2  155.858  5.83932e-09  8.08972e-11
10-40%  3.39474e+08  401.447  31.2293  2.5  3  8088.06  117.062  3.43477e-09  4.97128e-11
10-40%  3.39474e+08  401.447  31.2293  3  3.5  4989.95  87.1968  1.79308e-09  3.13331e-11
10-40%  3.39474e+08  401.447  31.2293  3.5  4  2921.61  65.2886  9.09865e-10  2.03325e-11
10-40%  3.39474e+08  401.447  31.2293  4  5  2718.25  63.498  3.52722e-10  8.23955e-12
10-40%  3.39474e+08  401.447  31.2293  5  6  1175.32  44.2876  1.24781e-10  4.70192e-12
10-40%  3.39474e+08  401.447  31.2293  6  7  353.705  25.6288  3.17749e-11  2.30235e-12
10-40%  3.39474e+08  401.447  31.2293  7  8  140.922  16.1753  1.09717e-11  1.25935e-12
10-40%  3.39474e+08  401.447  31.2293  8  10  71.7262  11.3408  2.32681e-12  3.67897e-13
0-10%  1.08968e+08  959.425  27.8013  0  0.5  2387.61  634.895  1.4539e-08  3.86608e-09
0-10%  1.08968e+08  959.425  27.8013  0.5  1  5788.12  637.214  1.17486e-08  1.2934e-09
0-10%  1.08968e+08  959.425  27.8013  1  1.5  7425.85  320.845  9.04368e-09  3.90746e-10
0-10%  1.08968e+08  959.425  27.8013  1.5  2  8458.49  256.935  7.35807e-09  2.23509e-10
0-10%  1.08968e+08  959.425  27.8013  2  2.5  5820.52  138.121  3.93811e-09  9.34516e-11
0-10%  1.08968e+08  959.425  27.8013  2.5  3  4120.41  97.2848  2.28096e-09  5.38544e-11
0-10%  1.08968e+08  959.425  27.8013  3  3.5  2359.71  65.8823  1.10531e-09  3.08599e-11
0-10%  1.08968e+08  959.425  27.8013  3.5  4  1332.35  47.5756  5.40872e-10  1.93136e-11
0-10%  1.08968e+08  959.425  27.8013  4  5  1082.39  41.945  1.83084e-10  7.0949e-12
0-10%  1.08968e+08  959.425  27.8013  5  6  484.387  30.5766  6.70361e-11  4.23161e-12
0-10%  1.08968e+08  959.425  27.8013  6  7  137.63  16.2767  1.61168e-11  1.90604e-12
0-10%  1.08968e+08  959.425  27.8013  7  8  48.6752  9.12444  4.93998e-12  9.26027e-13
0-10%  1.08968e+08  959.425  27.8013  8  10  21.9811  7.29483  9.29512e-13  3.08476e-13
0-80%  9.09221e+08  303.79  21.2256  0  0.5  6653.9  824.707  1.53361e-08  1.9008e-09
0-80%  9.09221e+08  303.79  21.2256  0.5  1  19796.8  938.398  1.52093e-08  7.20948e-10
0-80%  9.09221e+08  303.79  21.2256  1  1.5  23367.1  462.158  1.07714e-08  2.13038e-10
0-80%  9.09221e+08  303.79  21.2256  1.5  2  28143.6  378.397  9.26657e-09  1.24591e-10
0-80%  9.09221e+08  303.79  21.2256  2  2.5  19435  216.437  4.97715e-09  5.54276e-11
0-80%  9.09221e+08  303.79  21.2256  2.5  3  13994.8  161.432  2.93232e-09  3.38246e-11
0-80%  9.09221e+08  303.79  21.2256  3  3.5  8521.37  116.415  1.51079e-09  2.06396e-11
0-80%  9.09221e+08  303.79  21.2256  3.5  4  5008.89  86.3545  7.69641e-10  1.32688e-11
0-80%  9.09221e+08  303.79  21.2256  4  5  4510.5  82.4019  2.88775e-10  5.27561e-12
0-80%  9.09221e+08  303.79  21.2256  5  6  2037.91  58.9064  1.06751e-10  3.08566e-12
0-80%  9.09221e+08  303.79  21.2256  6  7  632.668  33.7088  2.80421e-11  1.49409e-12
0-80%  9.09221e+08  303.79  21.2256  7  8  240.275  21.0547  9.22984e-12  8.08791e-13
0-80%  9.09221e+08  303.79  21.2256  8  10  116.581  15.3012  1.86597e-12  2.44907e-13
