p	p_err	TPC PID eff.	err	TOF PID eff.	err
22
0.31	0.00999999	0.970229	1.79472e-05	0.767112	0.000110344
0.335	0.015	0.943088	1.25778e-05	0.776824	4.13517e-05
0.375	0.025	0.949409	3.25739e-06	0.890624	6.95557e-06
0.45	0.05	0.954083	7.12649e-07	0.977547	3.77383e-07
0.55	0.05	0.954093	4.45224e-07	0.990526	1.01149e-07
0.65	0.05	0.950431	3.7966e-07	0.996872	2.68994e-08
0.75	0.05	0.951074	3.58871e-07	0.998809	9.90368e-09
0.85	0.05	0.94852	3.7001e-07	0.999116	7.28908e-09
0.95	0.05	0.952704	3.94709e-07	0.999263	7.0269e-09
1.05	0.05	0.950991	4.99033e-07	0.999577	4.95383e-09
1.15	0.05	0.948682	6.93502e-07	0.999669	5.16855e-09
1.25	0.05	0.947766	9.19175e-07	0.999727	5.40649e-09
1.35	0.05	0.958517	1.03057e-06	0.999708	7.73927e-09
1.45	0.05	0.958762	1.51401e-06	0.999751	9.06025e-09
1.55	0.05	0.969323	1.74363e-06	0.999588	1.97286e-08
1.65	0.05	0.961988	3.0091e-06	0.999801	1.24285e-08
1.75	0.05	0.95707	4.20707e-06	0.99971	2.42535e-08
1.85	0.05	0.97424	3.59838e-06	0.999541	5.31708e-08
1.95	0.05	0.962311	6.29284e-06	0.999754	3.6249e-08
2.1	0.1	0.969457	3.97683e-06	0.999636	4.14947e-08
2.35	0.15	0.959241	6.05047e-06	0.999769	3.29136e-08
2.75	0.25	0.982789	4.87371e-06	0.999745	5.84382e-08
