p	p_err	TPC PID eff.	err	TOF PID eff.	err
24
0.225	0.025	0.995081	4.75128e-07	0.911486	8.46543e-06
0.275	0.025	0.995901	1.79695e-07	0.989184	5.12644e-07
0.325	0.025	0.995822	1.43657e-07	0.998449	5.85013e-08
0.375	0.025	0.996105	1.16218e-07	0.999137	2.81901e-08
0.45	0.05	0.996869	3.92599e-08	0.999365	8.7133e-09
0.55	0.05	0.996854	3.67363e-08	0.999569	5.49987e-09
0.65	0.05	0.997301	3.46031e-08	0.999591	5.74741e-09
0.75	0.05	0.997536	3.59921e-08	0.999711	4.60952e-09
0.85	0.05	0.997681	4.15627e-08	0.999681	6.24263e-09
0.95	0.05	0.997845	4.80391e-08	0.99968	7.76085e-09
1.05	0.05	0.997614	6.60571e-08	0.999712	8.69666e-09
1.15	0.05	0.997567	8.45013e-08	0.999736	1.00185e-08
1.25	0.05	0.997462	1.10937e-07	0.999744	1.21794e-08
1.35	0.05	0.997981	1.12459e-07	0.999746	1.5468e-08
1.45	0.05	0.997895	1.47665e-07	0.999652	2.66301e-08
1.55	0.05	0.998199	1.59688e-07	0.99976	2.33261e-08
1.65	0.05	0.997542	2.78073e-07	0.999768	2.86019e-08
1.75	0.05	0.997909	2.96638e-07	0.999668	5.08549e-08
1.85	0.05	0.997211	4.87467e-07	0.999638	6.96531e-08
1.95	0.05	0.997896	4.68353e-07	0.999585	1.01964e-07
2.1	0.1	0.997521	3.81216e-07	0.999728	4.65003e-08
2.35	0.15	0.997742	3.82457e-07	0.999719	5.19876e-08
2.75	0.25	0.997813	4.8175e-07	0.999682	7.71518e-08
3.5	0.5	0.994766	1.4994e-06	0.999572	1.41754e-07
